"","workclass","education","marital_status","occupation","race","sex","native_region","income","age","hours_per_week","investment_status"
"23","government_emp","some_hs","married","labor","Black","Male","north_america","<=50K",35,40,"no_investment"
"24","not_working","some_hs","married","labor","White","Male","north_america","<=50K",43,40,"investor"
"25","not_working","hs_grad","not_married","office","White","Female","north_america","<=50K",59,40,"no_investment"
"26","government_emp","bachelors","married","office","White","Male","north_america",">50K",56,40,"no_investment"
"27","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",19,40,"no_investment"
"29","not_working","hs_grad","not_married","office","White","Male","north_america","<=50K",39,80,"no_investment"
"30","not_working","hs_grad","married","labor","White","Male","north_america","<=50K",49,40,"no_investment"
"31","government_emp","associates","never_married","defense","White","Male","north_america","<=50K",23,52,"no_investment"
"32","not_working","hs_grad","never_married","office","Black","Male","north_america","<=50K",20,44,"no_investment"
"33","not_working","bachelors","not_married","office","White","Male","north_america","<=50K",45,40,"investor"
"34","government_emp","hs_grad","married","office","White","Male","north_america","<=50K",30,40,"no_investment"
"35","self_emp","hs_grad","married","services","Black","Male","north_america","<=50K",22,15,"no_investment"
"36","not_working","some_hs","never_married","labor","White","Male","south_america","<=50K",48,40,"no_investment"
"37","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",21,40,"no_investment"
"38","not_working","hs_grad","married","office","White","Female","north_america","<=50K",19,25,"no_investment"
"39","not_working","hs_grad","married","office","White","Male","north_america",">50K",31,38,"no_investment"
"40","self_emp","associates","married","office","White","Male","north_america","<=50K",48,40,"no_investment"
"41","not_working","some_hs","married","labor","White","Male","north_america","<=50K",31,43,"no_investment"
"42","self_emp","bachelors","married","office","White","Male","north_america","<=50K",53,40,"no_investment"
"43","not_working","bachelors","married","office","White","Male","north_america","<=50K",24,50,"no_investment"
"44","not_working","hs_grad","not_married","office","White","Female","north_america","<=50K",49,40,"no_investment"
"45","not_working","hs_grad","never_married","services","White","Male","north_america","<=50K",25,35,"no_investment"
"46","government_emp","bachelors","married","office","Black","Male","north_america",">50K",57,40,"no_investment"
"47","not_working","hs_grad","married","labor","White","Male","north_america","<=50K",53,38,"no_investment"
"48","not_working","graduate_deg","not_married","office","White","Female","north_america","<=50K",44,40,"no_investment"
"49","self_emp","associates","married","labor","White","Male","north_america","<=50K",41,40,"no_investment"
"50","not_working","associates","never_married","office","White","Male","north_america","<=50K",29,43,"no_investment"
"51","not_working","hs_grad","married","office","Other","Female","north_america","<=50K",25,40,"no_investment"
"52","not_working","hs_grad","never_married","services","White","Female","north_america","<=50K",18,30,"no_investment"
"53","not_working","graduate_deg","married","office","White","Female","south_america",">50K",47,60,"investor"
"54","government_emp","bachelors","not_married","office","White","Male","north_america",">50K",50,55,"no_investment"
"55","private","hs_grad","not_married","office","White","Male","north_america","<=50K",47,60,"no_investment"
"56","not_working","hs_grad","married","office","White","Male","north_america",">50K",43,40,"no_investment"
"57","not_working","no_hs","married","labor","White","Male","south_america","<=50K",46,40,"no_investment"
"58","not_working","associates","married","services","White","Male","south_america","<=50K",35,40,"no_investment"
"59","not_working","hs_grad","married","office","White","Male","north_america","<=50K",41,48,"no_investment"
"60","not_working","hs_grad","married","labor","White","Male","north_america","<=50K",30,40,"investor"
"61","not_working","bachelors","married","office","White","Male","north_america","<=50K",30,40,"investor"
"63","not_working","hs_grad","married","labor","White","Male","north_america","<=50K",48,40,"no_investment"
"64","not_working","graduate_deg","married","office","White","Male","north_america",">50K",42,45,"no_investment"
"65","not_working","hs_grad","not_married","office","White","Male","north_america","<=50K",29,58,"no_investment"
"66","not_working","hs_grad","married","labor","White","Male","north_america","<=50K",36,40,"no_investment"
"67","not_working","hs_grad","not_married","office","White","Female","north_america","<=50K",28,40,"no_investment"
"68","not_working","hs_grad","married","office","White","Female","north_america",">50K",53,40,"no_investment"
"69","private","hs_grad","married","office","White","Male","north_america",">50K",49,50,"no_investment"
"71","not_working","hs_grad","never_married","office","White","Male","north_america","<=50K",19,32,"no_investment"
"72","not_working","bachelors","not_married","office","Black","Female","north_america","<=50K",31,40,"no_investment"
"73","self_emp","bachelors","married","office","White","Male","north_america",">50K",29,70,"no_investment"
"74","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",23,40,"no_investment"
"75","not_working","hs_grad","married","office","White","Male","north_america","<=50K",79,20,"no_investment"
"76","not_working","hs_grad","never_married","services","White","Male","south_america","<=50K",27,40,"no_investment"
"77","not_working","associates","married","office","White","Male","north_america","<=50K",40,40,"no_investment"
"79","not_working","some_hs","never_married","services","White","Female","north_america","<=50K",18,22,"no_investment"
"80","government_emp","no_hs","married","labor","White","Male","north_america","<=50K",31,40,"no_investment"
"81","not_working","hs_grad","never_married","office","White","Male","north_america","<=50K",18,30,"no_investment"
"82","not_working","bachelors","married","services","White","Male","south_america","<=50K",52,40,"no_investment"
"83","not_working","hs_grad","married","services","White","Female","north_america","<=50K",46,40,"no_investment"
"84","not_working","hs_grad","married","office","White","Male","north_america","<=50K",59,48,"no_investment"
"85","not_working","hs_grad","not_married","labor","White","Female","north_america",">50K",44,40,"investor"
"86","not_working","hs_grad","not_married","office","White","Female","north_america","<=50K",53,35,"no_investment"
"87","government_emp","hs_grad","married","defense","White","Male","north_america",">50K",49,40,"no_investment"
"88","not_working","graduate_deg","married","office","White","Male","north_america","<=50K",33,50,"no_investment"
"89","not_working","some_hs","never_married","office","White","Male","north_america","<=50K",30,40,"no_investment"
"90","government_emp","graduate_deg","never_married","office","White","Female","north_america",">50K",43,50,"no_investment"
"91","not_working","associates","married","office","White","Male","north_america","<=50K",57,40,"no_investment"
"92","not_working","hs_grad","not_married","labor","White","Female","north_america","<=50K",37,40,"no_investment"
"93","not_working","hs_grad","not_married","labor","Black","Female","north_america","<=50K",28,25,"no_investment"
"94","not_working","hs_grad","married","office","Asian-Pac-Islander","Female","north_america","<=50K",30,35,"investor"
"95","government_emp","bachelors","married","defense","White","Male","north_america",">50K",34,40,"no_investment"
"96","government_emp","hs_grad","never_married","services","White","Male","north_america","<=50K",29,50,"no_investment"
"97","self_emp","graduate_deg","married","office","White","Male","north_america",">50K",48,60,"investor"
"98","not_working","hs_grad","married","office","White","Male","north_america",">50K",37,48,"no_investment"
"99","not_working","associates","not_married","office","White","Female","europe","<=50K",48,40,"no_investment"
"100","government_emp","hs_grad","never_married","services","Black","Male","north_america","<=50K",32,40,"no_investment"
"101","not_working","graduate_deg","married","office","White","Male","north_america",">50K",76,40,"no_investment"
"102","not_working","bachelors","married","office","White","Male","north_america",">50K",44,60,"investor"
"103","self_emp","graduate_deg","never_married","office","White","Female","north_america","<=50K",47,50,"no_investment"
"104","not_working","hs_grad","never_married","office","White","Female","north_america","<=50K",20,40,"no_investment"
"105","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",29,40,"no_investment"
"106","private","hs_grad","married","labor","White","Male","north_america",">50K",32,40,"investor"
"108","not_working","some_hs","never_married","services","White","Male","north_america","<=50K",30,40,"no_investment"
"109","government_emp","hs_grad","never_married","office","White","Female","north_america","<=50K",31,40,"no_investment"
"110","not_working","hs_grad","married","services","White","Male","north_america","<=50K",42,40,"no_investment"
"111","not_working","bachelors","never_married","office","White","Male","north_america","<=50K",24,40,"no_investment"
"112","not_working","graduate_deg","married","office","White","Male","north_america",">50K",38,40,"no_investment"
"113","self_emp","hs_grad","married","services","White","Male","north_america",">50K",56,50,"investor"
"114","not_working","hs_grad","married","office","White","Female","north_america","<=50K",28,25,"investor"
"115","not_working","hs_grad","never_married","labor","White","Female","north_america","<=50K",36,40,"no_investment"
"116","not_working","some_hs","married","services","White","Male","north_america","<=50K",53,50,"no_investment"
"117","private","hs_grad","married","office","White","Male","north_america","<=50K",56,50,"no_investment"
"118","government_emp","associates","married","labor","Black","Male","north_america",">50K",49,40,"no_investment"
"119","not_working","hs_grad","married","office","White","Male","north_america","<=50K",55,56,"no_investment"
"120","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",22,41,"no_investment"
"121","not_working","hs_grad","never_married","services","White","Female","north_america","<=50K",21,40,"no_investment"
"122","not_working","bachelors","married","office","White","Male","north_america","<=50K",40,60,"no_investment"
"123","not_working","bachelors","never_married","office","Black","Male","europe","<=50K",30,40,"no_investment"
"124","self_emp","bachelors","married","office","White","Male","north_america",">50K",29,50,"no_investment"
"125","not_working","hs_grad","never_married","services","Black","Male","north_america","<=50K",19,35,"no_investment"
"126","not_working","bachelors","married","office","White","Female","north_america",">50K",47,40,"no_investment"
"127","not_working","hs_grad","never_married","office","White","Female","north_america","<=50K",20,28,"investor"
"128","not_working","associates","married","office","White","Male","north_america",">50K",31,40,"no_investment"
"130","not_working","hs_grad","not_married","labor","White","Male","north_america","<=50K",39,40,"no_investment"
"131","not_working","associates","never_married","office","White","Female","north_america","<=50K",28,60,"no_investment"
"132","not_working","hs_grad","never_married","services","White","Female","north_america","<=50K",24,40,"investor"
"133","self_emp","hs_grad","married","labor","White","Male","north_america","<=50K",38,35,"investor"
"134","not_working","bachelors","married","office","White","Male","north_america","<=50K",37,50,"no_investment"
"135","not_working","associates","not_married","office","Black","Female","north_america","<=50K",46,36,"no_investment"
"136","government_emp","graduate_deg","married","office","White","Male","asia_and_pacific",">50K",38,40,"no_investment"
"137","self_emp","hs_grad","married","labor","White","Male","north_america","<=50K",43,60,"no_investment"
"138","not_working","associates","married","office","White","Female","north_america","<=50K",27,35,"no_investment"
"139","not_working","hs_grad","never_married","office","White","Male","north_america","<=50K",20,20,"no_investment"
"140","not_working","hs_grad","married","labor","Asian-Pac-Islander","Male","north_america",">50K",49,40,"no_investment"
"141","private","hs_grad","married","labor","White","Male","north_america","<=50K",61,40,"no_investment"
"142","not_working","hs_grad","never_married","office","White","Female","north_america","<=50K",27,40,"no_investment"
"143","not_working","hs_grad","never_married","services","White","Male","south_america","<=50K",19,30,"no_investment"
"144","not_working","associates","never_married","office","White","Female","north_america",">50K",45,40,"investor"
"145","not_working","hs_grad","never_married","office","White","Male","north_america","<=50K",70,40,"no_investment"
"146","not_working","hs_grad","never_married","labor","Black","Female","north_america","<=50K",31,30,"no_investment"
"147","not_working","hs_grad","married","services","White","Male","north_america","<=50K",22,24,"no_investment"
"148","not_working","hs_grad","not_married","services","White","Female","north_america","<=50K",36,24,"no_investment"
"149","not_working","some_hs","married","labor","White","Male","north_america","<=50K",64,40,"investor"
"151","government_emp","hs_grad","not_married","office","White","Female","south_america","<=50K",47,38,"no_investment"
"152","not_working","hs_grad","never_married","office","White","Female","north_america","<=50K",34,40,"no_investment"
"153","not_working","bachelors","never_married","office","Asian-Pac-Islander","Female","asia_and_pacific","<=50K",33,40,"no_investment"
"154","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",21,35,"no_investment"
"156","not_working","hs_grad","married","labor","White","Male","north_america","<=50K",48,46,"no_investment"
"157","not_working","bachelors","never_married","services","White","Male","north_america","<=50K",23,40,"no_investment"
"158","self_emp","hs_grad","not_married","office","Black","Male","north_america","<=50K",71,2,"investor"
"159","not_working","hs_grad","not_married","labor","White","Male","north_america","<=50K",29,60,"no_investment"
"160","not_working","bachelors","not_married","services","Black","Male","north_america","<=50K",42,50,"no_investment"
"162","not_working","hs_grad","never_married","services","White","Female","north_america","<=50K",25,40,"no_investment"
"163","private","graduate_deg","not_married","office","Asian-Pac-Islander","Female","north_america","<=50K",44,40,"no_investment"
"164","not_working","hs_grad","never_married","office","Asian-Pac-Islander","Female","europe","<=50K",28,40,"no_investment"
"165","self_emp","graduate_deg","married","office","White","Male","north_america",">50K",45,40,"no_investment"
"166","not_working","hs_grad","not_married","services","White","Female","south_america","<=50K",36,40,"no_investment"
"167","government_emp","associates","never_married","office","White","Male","north_america","<=50K",39,42,"no_investment"
"168","self_emp","graduate_deg","not_married","defense","White","Male","north_america","<=50K",46,40,"no_investment"
"169","not_working","some_hs","never_married","services","White","Male","north_america","<=50K",18,16,"no_investment"
"170","government_emp","associates","not_married","office","White","Female","north_america","<=50K",66,20,"no_investment"
"171","not_working","hs_grad","never_married","services","White","Male","north_america","<=50K",27,40,"investor"
"172","self_emp","hs_grad","married","defense","White","Male","north_america","<=50K",28,40,"no_investment"
"173","not_working","hs_grad","married","office","White","Male","north_america",">50K",51,40,"investor"
"174","not_working","bachelors","never_married","labor","White","Male","north_america","<=50K",27,50,"no_investment"
"175","self_emp","bachelors","married","office","White","Male","north_america",">50K",28,40,"no_investment"
"176","not_working","hs_grad","married","office","White","Female","north_america","<=50K",27,25,"no_investment"
"177","not_working","hs_grad","never_married","labor","Black","Male","north_america","<=50K",21,40,"no_investment"
"178","not_working","hs_grad","never_married","services","Black","Male","north_america","<=50K",34,40,"no_investment"
"179","not_working","hs_grad","never_married","services","White","Male","north_america","<=50K",18,12,"no_investment"
"180","not_working","bachelors","married","office","White","Male","north_america","<=50K",33,65,"no_investment"
"181","government_emp","hs_grad","married","office","Black","Male","north_america",">50K",44,38,"no_investment"
"182","not_working","hs_grad","not_married","office","White","Female","north_america","<=50K",43,40,"no_investment"
"183","not_working","hs_grad","never_married","labor","Black","Male","north_america","<=50K",30,45,"no_investment"
"184","not_working","no_hs","married","labor","White","Male","south_america",">50K",40,40,"no_investment"
"185","government_emp","hs_grad","married","office","White","Male","north_america",">50K",37,42,"no_investment"
"186","not_working","hs_grad","married","office","Black","Male","north_america","<=50K",34,40,"no_investment"
"187","self_emp","bachelors","not_married","office","White","Female","north_america","<=50K",41,40,"no_investment"
"189","not_working","graduate_deg","married","office","White","Female","north_america","<=50K",31,50,"no_investment"
"190","self_emp","graduate_deg","married","office","White","Male","north_america",">50K",58,1,"no_investment"
"191","not_working","hs_grad","not_married","labor","Black","Female","north_america","<=50K",38,28,"no_investment"
"192","not_working","hs_grad","married","labor","White","Male","north_america","<=50K",24,40,"no_investment"
"193","government_emp","bachelors","married","labor","Black","Male","north_america","<=50K",41,40,"no_investment"
"194","not_working","hs_grad","married","office","White","Male","north_america","<=50K",47,45,"no_investment"
"195","government_emp","bachelors","married","office","White","Male","north_america","<=50K",41,24,"no_investment"
"196","not_working","no_hs","married","labor","White","Male","south_america","<=50K",23,40,"no_investment"
"197","not_working","hs_grad","not_married","labor","White","Male","north_america","<=50K",36,40,"no_investment"
"198","government_emp","graduate_deg","never_married","office","White","Female","north_america",">50K",40,55,"investor"
"199","not_working","graduate_deg","married","office","White","Male","north_america",">50K",35,40,"investor"
"200","self_emp","hs_grad","never_married","office","White","Male","north_america","<=50K",24,40,"no_investment"
"201","not_working","graduate_deg","never_married","office","White","Female","north_america","<=50K",26,40,"investor"
"203","not_working","bachelors","married","office","White","Male","north_america",">50K",51,50,"no_investment"
"204","government_emp","hs_grad","never_married","office","White","Female","north_america","<=50K",42,40,"investor"
"205","self_emp","hs_grad","not_married","office","White","Female","north_america","<=50K",37,35,"no_investment"
"206","not_working","some_hs","never_married","office","White","Female","north_america","<=50K",18,40,"no_investment"
"207","not_working","bachelors","married","services","Black","Male","north_america",">50K",36,36,"investor"
"208","not_working","hs_grad","not_married","labor","White","Male","north_america","<=50K",35,60,"no_investment"
"209","private","hs_grad","married","office","White","Female","north_america",">50K",58,35,"investor"
"210","not_working","some_hs","never_married","office","White","Female","north_america","<=50K",17,12,"no_investment"
"211","government_emp","hs_grad","married","labor","Black","Male","north_america","<=50K",44,40,"no_investment"
"212","not_working","hs_grad","married","labor","White","Male","north_america",">50K",37,40,"no_investment"
"213","not_working","hs_grad","never_married","office","Amer-Indian-Eskimo","Female","north_america","<=50K",35,40,"no_investment"
"214","not_working","hs_grad","married","labor","Asian-Pac-Islander","Male","north_america","<=50K",60,40,"no_investment"
"215","private","no_hs","married","labor","White","Male","north_america",">50K",54,40,"no_investment"
"216","not_working","bachelors","never_married","office","Black","Male","north_america",">50K",37,60,"no_investment"
"217","not_working","associates","not_married","office","White","Female","north_america","<=50K",50,40,"no_investment"
"218","not_working","bachelors","married","office","White","Male","europe","<=50K",38,50,"no_investment"
"219","not_working","bachelors","married","office","White","Male","north_america","<=50K",45,55,"no_investment"
"220","not_working","some_hs","never_married","labor","White","Male","north_america","<=50K",25,40,"no_investment"
"221","not_working","hs_grad","married","services","White","Male","north_america","<=50K",31,40,"no_investment"
"223","not_working","hs_grad","never_married","services","Black","Male","north_america","<=50K",90,40,"investor"
"224","not_working","hs_grad","married","office","Black","Male","north_america","<=50K",54,20,"no_investment"
"225","government_emp","no_hs","never_married","labor","White","Female","north_america","<=50K",53,35,"no_investment"
"226","not_working","hs_grad","never_married","office","White","Female","north_america","<=50K",18,40,"no_investment"
"228","self_emp","hs_grad","married","labor","White","Male","north_america","<=50K",66,50,"investor"
"229","not_working","associates","not_married","office","White","Female","south_america","<=50K",75,20,"no_investment"
"230","not_working","hs_grad","not_married","office","White","Female","north_america","<=50K",65,40,"no_investment"
"231","not_working","some_hs","not_married","labor","Black","Male","north_america","<=50K",35,40,"investor"
"232","not_working","hs_grad","not_married","office","Black","Female","north_america","<=50K",41,38,"no_investment"
"233","not_working","hs_grad","never_married","office","White","Male","north_america","<=50K",25,42,"no_investment"
"234","not_working","hs_grad","not_married","labor","Other","Female","north_america","<=50K",33,40,"no_investment"
"235","not_working","graduate_deg","never_married","office","White","Male","north_america",">50K",28,55,"no_investment"
"236","self_emp","hs_grad","married","services","White","Male","north_america","<=50K",59,40,"no_investment"
"237","self_emp","hs_grad","never_married","office","White","Female","north_america","<=50K",40,38,"no_investment"
"238","not_working","bachelors","married","office","White","Male","asia_and_pacific",">50K",41,50,"no_investment"
"239","government_emp","graduate_deg","married","office","White","Male","north_america",">50K",38,70,"no_investment"
"240","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",23,40,"no_investment"
"241","not_working","bachelors","married","office","White","Male","north_america",">50K",40,40,"no_investment"
"242","self_emp","hs_grad","married","services","White","Female","north_america","<=50K",41,20,"no_investment"
"243","self_emp","associates","married","defense","White","Male","north_america","<=50K",24,50,"no_investment"
"245","not_working","hs_grad","not_married","labor","White","Male","north_america","<=50K",38,40,"investor"
"246","not_working","hs_grad","married","office","White","Male","north_america","<=50K",56,35,"no_investment"
"247","not_working","hs_grad","married","office","White","Male","north_america",">50K",58,45,"no_investment"
"248","not_working","hs_grad","never_married","services","White","Female","north_america","<=50K",32,34,"no_investment"
"249","not_working","associates","married","office","White","Male","north_america",">50K",40,60,"investor"
"250","not_working","hs_grad","married","office","White","Male","north_america","<=50K",45,40,"no_investment"
"251","not_working","graduate_deg","married","office","White","Female","north_america",">50K",41,40,"no_investment"
"252","not_working","bachelors","married","office","Black","Female","north_america","<=50K",42,40,"no_investment"
"253","government_emp","some_hs","not_married","services","Black","Female","north_america","<=50K",59,30,"no_investment"
"254","government_emp","hs_grad","never_married","office","White","Male","north_america","<=50K",19,40,"no_investment"
"255","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",58,20,"no_investment"
"256","self_emp","hs_grad","married","labor","Asian-Pac-Islander","Male","asia_and_pacific",">50K",42,40,"no_investment"
"257","not_working","hs_grad","never_married","services","White","Female","north_america","<=50K",20,40,"no_investment"
"258","not_working","hs_grad","not_married","services","White","Female","north_america","<=50K",32,30,"no_investment"
"259","not_working","associates","not_married","office","White","Female","north_america","<=50K",45,45,"no_investment"
"260","not_working","no_hs","not_married","labor","White","Male","north_america","<=50K",50,40,"no_investment"
"261","not_working","bachelors","not_married","office","White","Female","north_america","<=50K",36,40,"no_investment"
"262","not_working","hs_grad","married","office","White","Male","north_america","<=50K",45,60,"no_investment"
"263","not_working","some_hs","never_married","services","White","Male","north_america","<=50K",17,12,"no_investment"
"264","not_working","hs_grad","married","office","White","Male","north_america","<=50K",59,40,"investor"
"265","not_working","some_hs","married","labor","White","Male","north_america","<=50K",26,40,"no_investment"
"266","private","hs_grad","married","office","Asian-Pac-Islander","Male","asia_and_pacific",">50K",37,75,"no_investment"
"268","not_working","hs_grad","married","office","White","Male","north_america",">50K",64,40,"no_investment"
"269","not_working","bachelors","never_married","office","White","Female","north_america","<=50K",33,45,"no_investment"
"270","not_working","hs_grad","married","labor","White","Female","north_america",">50K",33,40,"no_investment"
"271","not_working","hs_grad","married","office","White","Male","north_america",">50K",61,40,"no_investment"
"272","not_working","some_hs","never_married","services","White","Male","north_america","<=50K",17,24,"investor"
"273","self_emp","graduate_deg","married","labor","White","Male","north_america","<=50K",50,98,"investor"
"274","government_emp","graduate_deg","never_married","office","White","Male","north_america","<=50K",27,35,"no_investment"
"275","not_working","hs_grad","not_married","office","White","Female","north_america","<=50K",30,40,"no_investment"
"276","not_working","hs_grad","married","services","Black","Male","north_america","<=50K",43,40,"no_investment"
"277","not_working","hs_grad","married","labor","White","Male","north_america",">50K",44,40,"investor"
"278","not_working","hs_grad","never_married","office","White","Female","north_america","<=50K",35,40,"no_investment"
"279","not_working","hs_grad","never_married","office","White","Female","north_america","<=50K",25,40,"no_investment"
"280","not_working","hs_grad","married","labor","White","Female","north_america",">50K",24,48,"investor"
"281","not_working","bachelors","never_married","office","White","Female","europe","<=50K",22,15,"no_investment"
"282","government_emp","hs_grad","married","labor","White","Male","north_america",">50K",42,40,"investor"
"283","not_working","associates","not_married","office","Black","Female","north_america","<=50K",34,45,"no_investment"
"284","not_working","bachelors","not_married","office","White","Female","north_america","<=50K",60,42,"no_investment"
"285","not_working","hs_grad","never_married","services","White","Male","north_america","<=50K",21,40,"no_investment"
"286","government_emp","graduate_deg","married","office","White","Male","north_america",">50K",57,40,"investor"
"287","not_working","graduate_deg","married","office","White","Male","north_america",">50K",41,60,"no_investment"
"288","not_working","hs_grad","not_married","services","White","Male","north_america","<=50K",50,45,"no_investment"
"289","not_working","bachelors","never_married","office","White","Female","north_america","<=50K",25,40,"no_investment"
"290","not_working","no_hs","married","labor","White","Male","south_america","<=50K",50,40,"no_investment"
"291","not_working","bachelors","married","office","White","Male","north_america","<=50K",36,45,"no_investment"
"292","not_working","hs_grad","not_married","office","White","Female","north_america","<=50K",31,40,"no_investment"
"293","government_emp","bachelors","never_married","defense","White","Male","north_america","<=50K",29,56,"no_investment"
"294","not_working","hs_grad","never_married","office","White","Male","north_america","<=50K",21,45,"no_investment"
"295","not_working","bachelors","never_married","office","Black","Female","north_america","<=50K",27,40,"no_investment"
"296","not_working","hs_grad","married","labor","White","Male","north_america","<=50K",65,16,"no_investment"
"297","private","bachelors","not_married","office","White","Female","north_america","<=50K",37,60,"no_investment"
"299","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",24,40,"no_investment"
"300","not_working","hs_grad","not_married","office","White","Male","north_america","<=50K",38,80,"no_investment"
"301","not_working","bachelors","married","office","White","Male","north_america",">50K",48,40,"investor"
"302","not_working","hs_grad","never_married","services","Asian-Pac-Islander","Female","north_america","<=50K",21,25,"no_investment"
"303","not_working","hs_grad","married","labor","White","Male","north_america",">50K",31,45,"no_investment"
"304","not_working","hs_grad","married","office","White","Male","north_america",">50K",55,40,"investor"
"305","not_working","hs_grad","married","office","Asian-Pac-Islander","Female","asia_and_pacific","<=50K",24,40,"no_investment"
"306","not_working","hs_grad","not_married","office","White","Female","north_america","<=50K",43,40,"no_investment"
"307","not_working","associates","never_married","office","White","Male","north_america","<=50K",26,45,"no_investment"
"308","not_working","associates","never_married","office","White","Female","north_america","<=50K",46,33,"no_investment"
"309","not_working","associates","married","office","White","Male","north_america",">50K",35,40,"no_investment"
"310","private","hs_grad","married","labor","White","Male","north_america",">50K",41,54,"no_investment"
"311","not_working","bachelors","never_married","office","White","Male","north_america","<=50K",26,40,"no_investment"
"312","not_working","graduate_deg","married","office","Asian-Pac-Islander","Male","asia_and_pacific",">50K",34,35,"investor"
"314","self_emp","bachelors","not_married","office","Black","Female","north_america",">50K",36,40,"no_investment"
"315","not_working","hs_grad","never_married","office","White","Male","north_america","<=50K",22,15,"no_investment"
"316","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",24,40,"no_investment"
"317","self_emp","hs_grad","married","office","White","Male","north_america","<=50K",77,40,"no_investment"
"318","not_working","no_hs","married","labor","White","Female","south_america","<=50K",22,40,"no_investment"
"319","not_working","hs_grad","never_married","office","White","Female","north_america","<=50K",29,40,"no_investment"
"320","not_working","hs_grad","not_married","services","White","Female","north_america","<=50K",62,24,"no_investment"
"321","self_emp","hs_grad","married","office","White","Male","north_america","<=50K",39,40,"no_investment"
"322","not_working","hs_grad","married","labor","White","Male","north_america","<=50K",43,50,"investor"
"323","not_working","hs_grad","not_married","labor","White","Male","north_america","<=50K",35,45,"no_investment"
"324","not_working","some_hs","never_married","office","White","Female","north_america","<=50K",29,40,"no_investment"
"325","self_emp","graduate_deg","married","labor","White","Male","north_america","<=50K",76,10,"no_investment"
"326","self_emp","hs_grad","married","labor","White","Male","north_america","<=50K",63,45,"no_investment"
"328","not_working","hs_grad","married","office","White","Female","north_america",">50K",43,50,"investor"
"329","self_emp","hs_grad","married","services","White","Male","north_america","<=50K",58,40,"no_investment"
"330","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",66,55,"investor"
"331","not_working","hs_grad","never_married","labor","Black","Male","north_america","<=50K",41,45,"no_investment"
"332","not_working","bachelors","never_married","office","White","Male","north_america","<=50K",26,40,"no_investment"
"333","not_working","associates","never_married","services","White","Male","north_america","<=50K",47,40,"no_investment"
"334","government_emp","some_hs","married","office","White","Male","north_america","<=50K",55,40,"no_investment"
"335","not_working","hs_grad","married","labor","White","Male","north_america","<=50K",53,40,"no_investment"
"336","not_working","no_hs","never_married","services","White","Male","south_america","<=50K",17,48,"no_investment"
"337","not_working","hs_grad","never_married","labor","White","Male","north_america","<=50K",30,40,"no_investment"
"338","not_working","graduate_deg","never_married","office","White","Male","north_america","<=50K",49,60,"no_investment"
"339","not_working","hs_grad","never_married","office","Black","Male","south_america","<=50K",19,30,"no_investment"
